v: [8, 7, 5, 10, 9, 3, 1, 6, 2, 4]
v: [8, 6, 5, 10, 9, 3, 1, 7, 2, 4]
v: [8, 6, 4, 10, 9, 3, 1, 7, 2, 5]
v: [8, 6, 2, 10, 9, 3, 1, 7, 4, 5]
v: [7, 6, 2, 10, 9, 3, 1, 8, 4, 5]
v: [7, 5, 2, 10, 9, 3, 1, 8, 4, 6]
v: [7, 4, 2, 10, 9, 3, 1, 8, 5, 6]
v: [7, 1, 2, 10, 9, 3, 4, 8, 5, 6]
v: [6, 1, 2, 10, 9, 3, 4, 8, 5, 7]
v: [6, 1, 2, 10, 7, 3, 4, 8, 5, 9]
v: [5, 1, 2, 10, 7, 3, 4, 8, 6, 9]
v: [5, 1, 2, 9, 7, 3, 4, 8, 6, 10]
v: [5, 1, 2, 6, 7, 3, 4, 8, 9, 10]
v: [4, 1, 2, 6, 7, 3, 5, 8, 9, 10]
v: [3, 1, 2, 6, 7, 4, 5, 8, 9, 10]
